Bin_number Celtic_Sea Northern_area BoB_recruitment BoB_presence BoB_spawning BoB_recruitment_interim
0 0 0 0 0 0 0
1 686.963505413608 820.403175147037 1473.88108452608 0 0 0
2 4299.01764353279 5143.45953005428 9252.42638753675 0 0 0
3 18803.6263704317 22516.9669651367 40556.0292972695 0 0 0
4 67401.473103636 80741.093826629 145534.091131117 0 0 0
5 200343.012277552 240032.503946362 432791.427010025 0 0 0
6 495055.866217123 593178.562145975 1069499.18200658 0 0 0
7 1020597.00082046 1222929.09344847 2204123.76344918 0 0 0
8 1765567.11330918 2115612.71105415 3810002.81997532 0 0 0
9 2585949.34855167 3098593.56040527 5572333.76685415 0 0 0
10 3250975.15894442 3895176.17007348 6988116.02759652 0 0 0
11 3582269.48299457 4291266.59733648 7668714.29494604 0 0 0
12 3567353.56597557 4271279.12294742 7586889.11802565 0 0 0
13 3340277.02978929 3994816.41566441 7035221.51992591 0 0 0
14 3061168.56323078 3652276.21043729 6364323.26530271 0 0 0
15 2794601.59262899 3319583.2862153 5721509.617112 0 0 0
16 2578630.01798934 3039419.81958298 5184732.42885618 0 0 0
17 2397632.13872207 2789779.38022965 4714343.02561483 0 0 0
18 2216287.02987263 2525189.22751526 4229566.64644247 0 0 0
19 2039400.43209399 2247872.20714494 0 0 42238.4018526145 3689808.37116926
20 1893509.49902698 1985980.29697018 0 0 45073.2739939744 3223714.27876227
21 1807175.7931907 1770346.80043179 0 0 48553.2905709868 2843133.21967856
22 1799344.98151629 1621025.38206088 0 0 53814.3039138023 2579986.13490605
23 1876830.49281737 1544827.80462448 0 0 62228.2151298419 2442576.04213133
24 2037011.63351687 1539091.59676212 0 0 75370.2385233111 2422153.94342326
25 2271409.09005875 1596382.84441154 0 0 95065.3731393845 2501297.29246454
26 2567866.3048584 1707319.23428027 0 0 123441.957635022 2659174.63738542
27 2911214.95153137 1861311.82979442 0 0 162910.571916476 2873256.7218368
28 3283376.40667329 2046332.74134318 0 0 216020.743425086 3119332.88006462
29 3663789.67464337 2248801.60168893 0 0 285191.011937683 3371655.5812005
30 4030544.44208227 2454091.67526088 0 0 372344.387273098 3604070.56528668
31 4362069.7837493 2647592.93927233 0 0 478501.540610397 3792040.07095587
32 4639007.97143426 2815979.395297 0 0 603389.195057541 3914967.94166035
33 4845892.248146 2948365.89838994 0 0 745127.191864088 3958240.67342444
34 4972328.69410926 3037106.75679293 0 0 900055.184186455 3914551.63595943
35 5013616.80009389 3078182.20473767 0 0 1062766.68716167 3784355.48116573
36 4970751.65577035 3071184.32817571 0 0 1226392.11600991 3575398.43394869
37 4849879.68680869 3018952.02718619 0 0 1383147.4530155 3301449.66762717
38 4661322.55295136 2926952.52612251 0 0 1525111.43409025 2980429.68262777
39 8497856.15162561 5426502.36562481 0 0 3366097.39734594 4873215.71846585
40 7325701.94206166 4799866.05542899 0 0 3630121.48110136 3522835.17757331
41 6092909.02530043 4128094.22594219 0 0 3646566.4032161 2372124.60980457
42 4967764.84917387 3504953.15212007 0 0 3470854.28566742 1513463.53419132
43 4029480.47378784 2974203.67097859 0 0 3183106.85663837 930398.508160448
44 3286602.47967446 2539450.34458917 0 0 2848609.06115946 558126.760207029
45 2707520.38661035 2182360.20766286 0 0 2503295.09872097 328771.566378988
46 2249045.50304923 1879664.89014934 0 0 2161686.42376543 190308.025784625
47 1874422.47373185 1613504.11951837 0 0 1830801.61275273 108040.827671166
48 1559685.89861314 1374428.24813917 0 0 1518343.32905427 60061.8643994374
49 1292028.74861472 1159513.3599367 0 0 1233572.63378812 32709.6394392912
50 1065075.65715264 968823.879826939 0 0 984536.976427469 17499.4850706001
51 874635.682828918 802526.149312314 0 0 775424.507545815 9238.78728718262
52 716409.862739799 659566.644958148 0 0 605788.148917453 4838.13993399307
53 585529.664992637 537695.924291744 0 0 471516.779908318 2524.27701186793
54 477080.519100549 434147.939777138 0 0 366612.350276891 1315.61603489883
55 386770.167769543 346333.425798456 0 0 284854.550222666 685.215905343013
56 311294.698531661 272201.71095637 0 0 220860.330211309 356.126423754206
57 248307.149127122 210249.553435215 0 0 170470.708550704 184.254649150628
58 196144.989167441 159313.826549377 0 0 130672.81178495 94.6751783846533
59 153507.70578349 118328.829556369 0 0 99309.565728061 48.2307689328954
60 119215.144350031 86164.7328052579 0 0 74773.9616666564 24.3425292944647
61 92094.276984655 61582.0544698776 0 0 55785.8373259796 12.173668563945
62 70971.4317506614 43278.4557777114 0 0 41267.9586408275 6.03660433710039
63 54720.8253511442 29978.3009230452 0 0 30296.434595038 2.97066345812836
64 42323.0055873732 20519.6182552369 0 0 22087.3753060591 1.45173801714275
65 32906.1671575701 13913.0216431132 0 0 15994.0982226468 0.704670523538202
66 25759.484108479 9363.8702233789 0 0 11499.9043045055 0.33962744673557
67 20325.1291841014 6264.76754316594 0 0 8203.47338340053 0.162400938376241
68 16176.2875184831 4169.82340984203 0 0 5799.46825577609 0.076959306202477
69 44395.49557175 6894.14167602662 0 0 10702.6960832025 0.042777242251272
70 18044.8884661231 946.023395902999 0 0 1642.14886380748 0.000888266227693
71 9005.18241326109 97.9378377761283 0 0 187.977793120593 1.37609434132964E-05
